name,price,company,releaseDate,wattageUse,componentType,size,speed,port,memoryType
Samsung990Pro,250,Samsung,11/1/22,5,storage,2,7540,M.2,SSD
WD_BlackSN850,128,WesternDigital,8/6/20,5,storage,1,7000,M.2,SSD
